"Source:","/nfs/nas/nfsshare/exports/robot/pcb/RPi_Hat_Template/RPi_Hat.sch"
"Date:","Sun 15 Nov 2020 11:34:44 AM MST"
"Tool:","Eeschema 5.1.8+dfsg1-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C2","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C3","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C4","10uF","RPi_Hat-eagle-import:10UF-6.3V-20%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C5","10nF","RPi_Hat-eagle-import:10NF_10000PF-50V-10%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C6","10uF","RPi_Hat-eagle-import:10UF-6.3V-20%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C7","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C8","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C9","10nF","RPi_Hat-eagle-import:10NF_10000PF-50V-10%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C10","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","I2C_HEADER_VOLTAGE_SELECT1","Jumper_3_Open","Jumper:Jumper_3_Open","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical_SMD_Pin1Left","~"
"","","J1","RPi_GPIO","RPi_Hat-rescue:RPi_GPIO","RPi_Hat:Samtec_HLE-120-02-XXX-DV-BE-XX-XX",""
